2023-10-22 14:12:59,449:'t'
2023-10-22 14:12:59,569:'a'
2023-10-22 14:13:00,054:'m'
2023-10-22 14:13:00,170:'a'
2023-10-22 14:13:00,394:'n'
2023-10-22 14:13:00,511:'i'
2023-10-22 14:13:02,491:'.'
2023-10-22 14:13:02,704:'d'
2023-10-22 14:13:02,831:'e'
2023-10-22 14:13:03,058:'v'
2023-10-22 14:13:08,469:Key.ctrl_l
2023-10-22 14:13:08,698:'\x03'
2023-10-22 14:13:10,658:Key.esc
2023-10-22 14:13:14,790:Key.ctrl_l
2023-10-22 14:13:15,105:'\x03'
2023-10-22 14:13:15,290:'\x03'
2023-10-22 14:13:15,494:'\x03'
2023-10-22 14:13:16,327:'e'
2023-10-22 14:13:16,695:'x'
2023-10-22 14:13:18,646:Key.enter
